provider,evidence_classification,historical_corner_odds_verified,serie_a_coverage_verified,opening_odds_verified,closing_odds_verified,licensing_risk,score,decision
The Odds API,OFFICIAL DOCUMENTATION VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,UNKNOWN,20,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
API-Football / API-Sports,LIVE API VERIFIED,NOT VERIFIED,LIVE API VERIFIED,NOT VERIFIED,NOT VERIFIED,MEDIUM,35,SUPPORT CONFIRMATION REQUIRED
Sportmonks,OFFICIAL DOCUMENTATION VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,UNKNOWN,20,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
Betfair Historical Data,OFFICIAL DOCUMENTATION VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,MEDIUM,42,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
TheStatsAPI,LIVE API VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,18,NOT QUALIFIED UNDER CURRENT EVIDENCE
OddsJam,COMMERCIAL CLAIM ONLY,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,10,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
LSports,COMMERCIAL CLAIM ONLY,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,10,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
GoalServe,COMMERCIAL CLAIM ONLY,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,8,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
SportsDataIO,COMMERCIAL CLAIM ONLY,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,UNKNOWN,10,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
Sportradar,OFFICIAL DOCUMENTATION VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,22,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
Stats Perform,COMMERCIAL CLAIM ONLY,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,12,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
BetConstruct / FeedConstruct,COMMERCIAL CLAIM ONLY,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,10,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
Pinnacle / approved resellers,COMMERCIAL CLAIM ONLY,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,10,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
Bet365 / approved resellers,COMMERCIAL CLAIM ONLY,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,8,COMMERCIAL QUOTES REQUIRED BEFORE DECISION
OddsPortal / BetExplorer,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,HIGH,5,REJECTED
